YEARCOM,NUTS3,CITY,TIME,NRVIC_cat,NRPERP,CRIMESCENE,MODUS,TYPEHOM,RELAT,PROCESS,TYPE,PRINCIPAL,GENDER_vic,GENDER_perp,AGE_vic,AGE_perp,BIRTHCOUNTRY_vic,BIRTHCOUNTRY_perp,SUICIDE
2013,Groot-Amsterdam,Urban,Morning (6-12),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Missing,Partner,Solved,Victim,"Yes, principal victim",Male,Female,25to39,Missing,Missing,Netherlands,No
2016,Midden-Noord-Brabant,Urban,Missing,Single,Single,Other,Firearm,Missing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Other non-European,Netherlands,Missing
2011,Veluwe,Rural,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Motor vehicle,Other in non-criminal milieu,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,7to17,18to24,Netherlands,Netherlands,Missing
2019,Groot-Rijnmond,Urban,Evening (6-12),Single,Multiple,Private home,Missing,Robbery killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,Missing,Other non-European,Missing,No
2016,Groot-Rijnmond,Urban,Evening (6-12),Single,Multiple,"Park, forest or recreational area",Knife or other sharp object/weapon,Partner killing,Other,Solved,Victim,"Yes, principal victim",Male,Male,18to24,18to24,Missing,Missing,Missing
2019,Noordoost-Noord-Brabant,Urban,Afternoon (12-6,Single,Single,Private home,Firearm,Partner killing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Other non-European,Missing,No
2011,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,Missing,Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,No,Female,Male,25to39,18to24,Missing,Missing,No
2011,Arnhem/Nijmegen,Rural,Afternoon (12-6,Single,Single,Private home,Missing,Partner killing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Male,Male,18to24,Missing,Missing,Missing,No
2013,Zuid-Limburg,Urban,Afternoon (12-6,Single,Single,Private home,Knife or other sharp object/weapon,Missing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,18to24,40to64,Netherlands,Missing,No
2015,Utrecht,Urban,Missing,Multiple,Missing,"Shop, restaurant or other place of entertainment and amusement",Hanging/Strangulation/Suffocation,Other in non-criminal milieu,Other relative,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,No
2014,Groot-Amsterdam,Urban,Morning (6-12),Single,Multiple,Private home,Firearm,Robbery killing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Missing,Other non-European,No
2020,Twente,Urban,Evening (6-12),Multiple,Single,Private home,Firearm,Other in non-criminal milieu,(Step)Parent,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Missing,Missing,No
2016,Zuidoost-Noord-Brabant,Rural,Evening (6-12),Single,Single,Private home,Missing,Missing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Male,>=65,25to39,Other non-European,Other Europe,No
2020,Noord-Drenthe,Urban,Afternoon (12-6,Single,Single,Other,Firearm,Nightlife violence,Other relative,Solved,Victim,"Yes, principal victim",Male,Missing,25to39,>=65,Other Europe,Missing,Missing
2020,Utrecht,Rural,Afternoon (12-6,Single,Single,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,Other,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,No
2011,Agglomeratie ’s-Gravenhage,Rural,Night (12-6),Single,Multiple,Other,Firearm,Other,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,25to39,25to39,Other Europe,Netherlands,No
2011,Zuidoost-Friesland,Urban,Morning (6-12),Single,Missing,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Partner killing,Perpetrator and victim do not know each other,Unsolved,Victim,"Yes, principal victim",Male,Missing,40to64,40to64,Netherlands,Netherlands,No
2013,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,Other relative,Unsolved,Victim,"Yes, principal victim",Male,Missing,40to64,Missing,Missing,Other Europe,Yes
2014,Agglomeratie Leiden en Bollenstreek,Rural,Missing,Single,Single,Private home,Hanging/Strangulation/Suffocation,Other,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Missing,25to39,Missing,Netherlands,Netherlands,No
2020,Twente,Urban,Evening (6-12),Single,Multiple,Other,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Missing,Other Europe,No
2015,Utrecht,Urban,Night (12-6),Single,Multiple,"Park, forest or recreational area",Firearm,Other in non-criminal milieu,Other,Solved,Victim,"Yes, principal victim",Male,Male,25to39,40to64,Netherlands,Missing,No
2015,Midden-Noord-Brabant,Urban,Morning (6-12),Single,Single,"Park, forest or recreational area",Knife or other sharp object/weapon,Other familial killing,(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,25to39,40to64,Missing,Missing,Missing
2018,Groot-Amsterdam,Urban,Morning (6-12),Single,Single,Private home,Hanging/Strangulation/Suffocation,Other,Partner,Solved,Victim,"Yes, principal victim",Male,Male,25to39,40to64,Missing,Missing,No
2011,Noordoost-Noord-Brabant,Urban,Missing,Single,Multiple,Private home,Firearm,Killing by mentally disturbed person (non-family),Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Other non-European,Netherlands,No
2017,Agglomeratie ’s-Gravenhage,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,No
2011,Zuid-Limburg,Urban,Evening (6-12),Single,Single,"Street, road, public transportation or other public place",Blunt object,Other in non-criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,>=65,Netherlands,Other non-European,No
2020,Groot-Amsterdam,Urban,Afternoon (12-6,Single,Single,Private home,Firearm,Missing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,Missing,Missing,Missing,No
2019,Utrecht,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Robbery killing,Partner,Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Other Europe,Netherlands,Missing
2017,Kop van Noord-Holland,Rural,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Missing,Criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,25to39,18to24,Missing,Netherlands,No
2015,Noordoost-Noord-Brabant,Urban,Afternoon (12-6,Single,Single,Private home,Hanging/Strangulation/Suffocation,Killing by mentally disturbed person (non-family),Partner,Solved,Victim,"Yes, principal victim",Female,Male,25to39,25to39,Missing,Missing,Missing
2012,Arnhem/Nijmegen,Rural,Morning (6-12),Multiple,Missing,Private home,Knife or other sharp object/weapon,Criminal milieu,Perpetrator and victim do not know each other,Solved,Victim,No,Male,Male,18to24,40to64,Netherlands,Missing,No
2011,Twente,Urban,Missing,Single,Single,Private home,Missing,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Missing,>=65,Missing,Other non-European,Netherlands,No
2015,Groot-Rijnmond,Urban,Missing,Single,Single,Private home,Hanging/Strangulation/Suffocation,Child killing (family and non-family),Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,<=6,18to24,Missing,Missing,No
2012,Midden-Noord-Brabant,Urban,Afternoon (12-6,Single,Single,Private home,Hanging/Strangulation/Suffocation,Robbery killing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,Missing,Missing,Missing,Netherlands,No
2020,Groot-Amsterdam,Urban,Afternoon (12-6,Single,Single,"Street, road, public transportation or other public place",Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Other Europe,Netherlands,Missing
2011,Twente,Urban,Missing,Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Other familial killing,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,7to17,25to39,Missing,Netherlands,Missing
2014,Agglomeratie ’s-Gravenhage,Urban,Afternoon (12-6,Single,Single,"Street, road, public transportation or other public place",Blunt object,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Missing,25to39,Missing,Other Europe,Missing,Yes
2019,Groot-Rijnmond,Urban,Afternoon (12-6,Single,Multiple,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,(Step)Parent,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Netherlands,Other non-European,Yes
2017,Utrecht,Urban,Missing,Single,Single,"Street, road, public transportation or other public place",Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Missing,Missing,Suicide attempt only
2020,Overig Zeeland,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Missing,Partner,Solved,Victim,"Yes, principal victim",Male,Female,>=65,40to64,Missing,Other Europe,Missing
2020,Zuid-Limburg,Urban,Evening (6-12),Multiple,Single,Private home,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,25to39,>=65,Missing,Other Europe,No
2017,Groot-Amsterdam,Urban,Evening (6-12),Single,Single,"Park, forest or recreational area",Firearm,Killing by mentally disturbed person (non-family),Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,<=6,25to39,Missing,Other non-European,Missing
2013,Agglomeratie ’s-Gravenhage,Urban,Evening (6-12),Single,Single,"Shop, restaurant or other place of entertainment and amusement",Knife or other sharp object/weapon,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,<=6,18to24,Netherlands,Netherlands,No
2011,Veluwe,Urban,Missing,Multiple,Single,Private home,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),(Step)Child,Solved,Victim,"Yes, principal victim",Female,Male,25to39,40to64,Other non-European,Missing,Missing
2012,Agglomeratie Leiden en Bollenstreek,Urban,Missing,Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Criminal milieu,Other,Solved,Victim,"Yes, principal victim",Male,Female,40to64,40to64,Netherlands,Missing,No
2015,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,Other,Solved,Victim,"Yes, principal victim",Male,Missing,<=6,40to64,Netherlands,Missing,No
2020,Noord-Friesland,Urban,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Firearm,Other familial killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,7to17,25to39,Missing,Other Europe,No
2019,Utrecht,Rural,Missing,Single,Single,"Street, road, public transportation or other public place",Missing,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,7to17,18to24,Missing,Other non-European,No
2011,Groot-Rijnmond,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Firearm,Criminal milieu,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,7to17,25to39,Netherlands,Netherlands,No
2017,Zuidoost-Noord-Brabant,Rural,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Other familial killing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,18to24,Missing,Missing,No
2015,Zuidoost-Zuid-Holland,Urban,Morning (6-12),Single,Missing,Other,Blunt object,Robbery killing,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Male,Male,>=65,40to64,Netherlands,Netherlands,Missing
2017,Utrecht,Urban,Missing,Single,Single,"Street, road, public transportation or other public place",Other,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,Missing
2013,Achterhoek,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Firearm,Killing by mentally disturbed person (non-family),(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Netherlands,Netherlands,No
2019,Utrecht,Urban,Morning (6-12),Single,Multiple,"Shop, restaurant or other place of entertainment and amusement",Knife or other sharp object/weapon,Missing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,40to64,Other Europe,Missing,Missing
2017,Groot-Amsterdam,Urban,Morning (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Other Europe,Missing,No
2011,Groot-Amsterdam,Urban,Night (12-6),Multiple,Multiple,"Street, road, public transportation or other public place",Firearm,Partner killing,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Male,18to24,40to64,Other non-European,Netherlands,No
2015,Zuidoost-Zuid-Holland,Urban,Evening (6-12),Single,Missing,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Missing,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Missing,Missing,Missing
2018,Noordoost-Noord-Brabant,Rural,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Female,Male,<=6,40to64,Missing,Missing,No
2015,Zuidoost-Noord-Brabant,Urban,Night (12-6),Single,Single,Other,Firearm,Other in non-criminal milieu,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,7to17,40to64,Other non-European,Missing,No
2014,Flevoland,Urban,Evening (6-12),Single,Missing,Private home,Missing,Partner killing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Missing,Missing,No
2014,Groot-Amsterdam,Urban,Afternoon (12-6,Single,Single,Private home,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Other Europe,Other non-European,No
2014,Achterhoek,Urban,Missing,Single,Single,Other,Knife or other sharp object/weapon,Missing,Missing,Unsolved,Victim,"Yes, principal victim",Male,Missing,>=65,40to64,Missing,Missing,Missing
2019,Groot-Rijnmond,Urban,Morning (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Netherlands,Missing,No
2020,Arnhem/Nijmegen,Urban,Evening (6-12),Single,Single,"Park, forest or recreational area",Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,18to24,40to64,Netherlands,Other Europe,No
2012,Agglomeratie ’s-Gravenhage,Urban,Afternoon (12-6,Single,Single,Private home,Missing,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,25to39,40to64,Missing,Netherlands,No
2014,Groot-Rijnmond,Urban,Afternoon (12-6,Single,Single,"Street, road, public transportation or other public place",Firearm,Child killing (family and non-family),(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,7to17,25to39,Missing,Other non-European,Yes
2013,Noordoost-Noord-Brabant,Urban,Night (12-6),Multiple,Missing,Private home,Firearm,Partner killing,Partner,Unsolved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Other non-European,Missing,No
2015,Ijmond,Urban,Missing,Single,Multiple,Private home,Firearm,Missing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,>=65,25to39,Missing,Missing,No
2013,Utrecht,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Missing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Other non-European,Missing,No
2019,Midden-Noord-Brabant,Urban,Evening (6-12),Single,Single,"Street, road, public transportation or other public place","Hitting, kicking or other similar physical violence without weapon,",Partner killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,>=65,25to39,Missing,Missing,No
2016,Zuidoost-Noord-Brabant,Urban,Afternoon (12-6,Multiple,Single,Private home,Smoke or fire,Other familial killing,Missing,Unsolved,Victim,"Yes, principal victim",Female,Male,25to39,40to64,Other Europe,Other non-European,Missing
2012,Zuidoost-Friesland,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,Missing,Solved,Victim,"Yes, principal victim",Male,Missing,Missing,40to64,Netherlands,Netherlands,Missing
2014,Noord-Friesland,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Other non-European,Netherlands,Missing
2011,Veluwe,Urban,Evening (6-12),Multiple,Single,Private home,Knife or other sharp object/weapon,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,25to39,18to24,Netherlands,Netherlands,No
2014,Twente,Urban,Missing,Single,Multiple,Private home,Motor vehicle,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,No
2016,Groot-Amsterdam,Urban,Morning (6-12),Single,Single,"Street, road, public transportation or other public place",Hanging/Strangulation/Suffocation,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,Yes
2015,Agglomeratie Leiden en Bollenstreek,Urban,Afternoon (12-6,Single,Single,"Street, road, public transportation or other public place","Hitting, kicking or other similar physical violence without weapon,",Criminal milieu,Partner,Unsolved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Missing,Netherlands,Missing
2018,Arnhem/Nijmegen,Urban,Evening (6-12),Single,Single,"Street, road, public transportation or other public place",Motor vehicle,Partner killing,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Missing,Missing,No
2013,Noord-Drenthe,Urban,Evening (6-12),Single,Missing,Other,Knife or other sharp object/weapon,Criminal milieu,Missing,Solved,Victim,No,Male,Male,25to39,Missing,Netherlands,Netherlands,Yes
2013,Groot-Amsterdam,Urban,Night (12-6),Multiple,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Child killing (family and non-family),Missing,Solved,Victim,"Yes, principal victim",Female,Male,7to17,25to39,Netherlands,Missing,Missing
2019,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,Perpetrator and victim do not know each other,Unsolved,Victim,"Yes, principal victim",Male,Male,18to24,40to64,Other non-European,Netherlands,No
2015,Groot-Amsterdam,Rural,Missing,Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Missing,Solved,Victim,"Yes, principal victim",Male,Male,18to24,18to24,Missing,Other non-European,No
2013,Flevoland,Urban,Missing,Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,18to24,40to64,Missing,Missing,No
